ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
06,CALIFORNIA,CA,Napa,06055,"Napa County, California",748.3097634,140530,0,55557,161,49032,491,11168,1200,3728,406,42677,1141,14670,615,25360,47,29894,45,16313,793,3439,403,66371,238,11182,850,4946,411,3563,284,3083,334,2454,327,4106,429,8.1,0.9,5.0,0.5,42677.0,1141.0,14.9,0.6,18.0,0.1,21.3,0.0,11.8,0.6,7.0,0.8,47.2,0.2,8.4,0.6,8.9,0.7,6.4,0.5,6.3,0.7,5.0,0.7,2.9,0.3,0.0702,0.1404,0.1053,0.5789,0.8948,0.1579,0.6316,0.4386,0.3684,0.3158,1.7544,0.2982,0.4912,0.6316,1.1228,0.5263,0.6842,0.5263,0.5439,0.2982,0.6667,2.7193,0.6316,6.4913,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9015,968,6.5,0.7,141759
06,CALIFORNIA,CA,San Benito,06069,"San Benito County, California",1388.6509764,59416,0,18614,56,17740,181,5459,1008,2294,366,31475,1109,7658,605,7194,44,15603,48,5562,480,1952,295,38636,38,5178,535,616,125,852,165,1465,296,424,117,276,136,9.2,1.7,7.4,1.2,31475.0,1109.0,20.1,1.6,12.1,0.1,26.3,0.1,9.4,0.8,11.0,1.7,65.0,0.1,9.3,1.0,3.3,0.7,4.6,0.9,8.3,1.7,2.4,0.7,0.5,0.2,0.1404,0.5439,0.4561,0.7368,1.8772,0.4561,0.1404,0.7544,0.1228,0.7719,1.7895,0.3684,0.7719,0.7018,1.4737,0.7368,0.2281,0.3509,0.807,0.0,0.0,1.386,0.0877,6.5264,0.3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4366,594,7.4,1.0,42121
06,CALIFORNIA,CA,Alameda,06001,"Alameda County, California",737.299612,1643700,0,601942,424,572870,1547,170884,4301,45110,1568,44283,341,139234,2461,215917,0,344513,0,153134,2234,40874,1164,1120309,408,130524,2777,129403,1791,7220,505,44166,1440,54816,1434,32288,1197,10.6,0.3,5.1,0.2,44283.0,341.0,12.0,0.2,13.1,0.0,21.0,0.0,9.4,0.1,7.1,0.2,68.2,0.0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2.0,0.1,0.2632,0.1579,0.0877,0.4035,0.9123,0.1754,0.2632,0.4035,0.1228,0.3333,1.1228,0.0702,0.8772,0.6316,1.5088,0.7544,0.9298,0.0351,0.7368,0.9649,0.4561,3.1227,0.8421,6.6666,0.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,83911,2425,5.1,0.1,1480381
06,CALIFORNIA,CA,Inyo,06027,"Inyo County, California",10180.9338418,18085,0,9540,90,8083,212,1792,375,447,99,31540,1446,1478,228,4148,78,3635,66,2489,261,527,164,6696,26,460,196,369,128,2084,172,156,65,552,156,647,167,10.2,2.1,5.2,1.2,31540.0,1446.0,11.2,1.7,22.9,0.4,20.1,0.4,14.1,1.5,6.5,2.0,37.0,0.1,2.7,1.2,3.9,1.3,21.8,1.8,1.9,0.8,6.8,1.9,3.6,0.9,0.193,0.2281,0.4386,0.3333,1.193,0.2807,0.807,0.2632,0.6316,0.2632,1.965,0.4737,0.4035,0.2982,0.7017,0.386,0.3158,0.9649,0.0702,0.7018,0.7544,2.8071,0.6842,6.6668,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1125,195,6.4,1.1,16860
06,CALIFORNIA,CA,Lassen,06035,"Lassen County, California",4541.1833033,31185,0,12758,233,9493,354,2933,438,570,127,21897,1252,3853,341,4157,74,4926,49,3599,322,678,132,10657,23,520,144,418,106,1656,218,127,47,560,140,10062,516,13.8,2.0,6.1,1.4,21897.0,1252.0,17.2,1.5,13.3,0.2,15.8,0.2,16.8,1.5,7.1,1.4,34.2,0.1,1.7,0.5,3.3,0.8,13.0,1.7,1.3,0.5,5.9,1.4,32.3,1.7,0.4211,0.2807,0.8947,0.6491,2.2456,0.5789,0.2807,0.0526,0.7193,0.3333,1.3859,0.1228,0.3333,0.193,0.5263,0.2632,0.2281,0.8772,0.0351,0.5439,1.0,2.6843,0.614,6.8421,0.4035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1216,294,5.7,1.3,31091
06,CALIFORNIA,CA,San Diego,06073,"San Diego County, California",4208.7625312,3302833,0,1204884,993,1118980,3147,403190,7611,106962,3100,36156,267,286008,4534,439595,0,726344,0,314897,3869,92411,2205,1787453,911,216965,3916,255366,3021,42081,1133,75015,1839,61486,1799,89451,2582,12.5,0.2,6.4,0.2,36156.0,267.0,12.9,0.2,13.3,0.0,22.0,0.0,9.8,0.1,8.3,0.2,54.1,0.0,7.0,0.1,21.2,0.3,3.5,0.1,6.7,0.2,5.5,0.2,2.7,0.1,0.3684,0.4035,0.2456,0.4737,1.4912,0.3684,0.2807,0.5263,0.1579,0.5088,1.4737,0.1754,0.5614,0.5439,1.1053,0.5088,0.9123,0.2281,0.614,0.4211,0.614,2.7895,0.6667,6.8597,0.4211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,279602,5788,8.7,0.2,2933894
06,CALIFORNIA,CA,Solano,06095,"Solano County, California",821.7515515,438530,0,156896,231,149067,608,44427,2429,15346,842,33700,507,36031,1250,64390,0,98813,0,52805,1382,15236,876,269660,421,20223,1164,13520,787,4468,383,7695,545,7541,602,10444,428,10.4,0.6,7.0,0.4,33700.0,507.0,12.0,0.4,14.7,0.0,22.5,0.0,12.4,0.3,10.2,0.6,61.5,0.1,4.9,0.3,8.6,0.5,2.8,0.2,5.2,0.4,5.1,0.4,2.4,0.1,0.2281,0.5263,0.2982,0.4035,1.4561,0.3509,0.4561,0.5789,0.4561,0.7018,2.1929,0.614,0.7193,0.4211,1.1404,0.5614,0.6491,0.1404,0.4737,0.3158,0.5439,2.1229,0.2456,6.9123,0.4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23696,1532,5.6,0.4,354911
06,CALIFORNIA,CA,Santa Cruz,06087,"Santa Cruz County, California",445.1239815,273765,0,105894,261,95756,961,37429,2518,9027,824,39001,781,24323,1083,41001,116,53761,87,30314,1275,6797,657,116225,181,20226,1162,9105,736,6053,410,7034,617,5234,577,12684,638,14.3,1.0,6.3,0.6,39001.0,781.0,13.6,0.6,15.0,0.1,19.6,0.0,11.1,0.5,7.1,0.7,42.5,0.1,7.8,0.4,8.6,0.7,5.7,0.4,7.3,0.6,5.5,0.6,4.6,0.2,0.4912,0.386,0.193,0.5088,1.579,0.4035,0.4912,0.2456,0.2807,0.3333,1.3508,0.1053,0.4561,0.5789,1.035,0.4912,0.6491,0.4561,0.6842,0.4211,0.8246,3.0351,0.7719,6.9999,0.4561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17004,1473,6.2,0.5,243053
06,CALIFORNIA,CA,Shasta,06089,"Shasta County, California",3775.394188,179085,0,78535,199,70473,580,30186,1906,4824,493,27983,586,11606,779,35621,64,38673,90,31671,1046,6077,505,35510,151,2041,394,3545,339,9313,613,2301,344,4788,324,3278,419,17.1,1.1,6.2,0.6,27983.0,586.0,9.2,0.6,19.9,0.1,21.6,0.1,17.8,0.6,8.6,0.7,19.8,0.1,1.2,0.2,4.5,0.4,11.9,0.8,3.3,0.5,6.8,0.5,1.8,0.2,0.6491,0.3509,0.5789,0.1228,1.7017,0.4211,0.7368,0.4737,0.7895,0.5263,2.5263,0.7895,0.1228,0.1404,0.2632,0.1404,0.4035,0.8246,0.2982,0.7018,0.386,2.6141,0.5263,7.1053,0.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13266,987,7.5,0.6,169416
06,CALIFORNIA,CA,Trinity,06105,"Trinity County, California",3179.2662178,12862,0,8850,53,5796,216,2491,405,446,164,25964,2063,932,177,3389,71,2172,19,2713,270,533,157,2255,26,102,103,77,65,2180,229,148,67,320,119,293,100,19.7,3.2,8.6,3.0,25964.0,2063.0,9.4,1.8,26.3,0.6,16.9,0.1,21.4,2.1,9.2,2.7,17.5,0.2,0.8,0.8,0.9,0.7,24.6,2.6,2.6,1.2,5.5,2.0,2.3,0.8,0.7719,0.7018,0.7193,0.1404,2.3334,0.6316,0.9123,0.1228,0.9825,0.5789,2.5965,0.8596,0.0526,0.0526,0.1052,0.0175,0.0,1.0,0.193,0.4211,0.5263,2.1404,0.2807,7.1755,0.4912,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,3,1435,326,11.3,2.6,9931
